extension,count_in_archive,what_is_actually_readable_visible_previewed_today,possible_to_improve_or_not,if_useful_to_do_or_not
.ani,1,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium only if you actively research animation/effect data; otherwise low.
.binarygimmick,12045,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.binarygimmickcacheddata,1,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.binarygimmickframeevent,1,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.binarystring,1,Details/raw-bytes fallback only.,"Technically yes, but only if this format becomes important enough to justify custom parsing.",Low unless this format becomes a specific research target.
.bnk,3144,Structured Wwise soundbank summary with chunk/event/media details plus binary details; direct bank playback is not exposed.,Yes - deeper event/media browsing is still feasible.,High
.css,170,Readable text preview in the text pane plus archive details.,Already usable; only minor QoL improvements would make sense.,Low - current preview is already good enough.
.cur,1,Raw/info fallback only; no cursor/icon image preview.,Yes - image preview is straightforward if cursor/icon decoding is added.,Medium
.dat,17,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.dds,279590,Real image preview in the Preview pane; DDS also shows metadata/details.,Already usable; only minor QoL improvements would make sense.,Low - current preview is already good enough.
.hkx,56997,Structured metadata/tag preview plus binary details; no full animation playback/editor.,"Maybe - deeper metadata/skeleton inspection is feasible, full animation playback is still hard.",Medium
.html,152,Readable text preview in the text pane plus archive details.,Already usable; only minor QoL improvements would make sense.,Low - current preview is already good enough.
.ies,36,Text-like fallback in the preview pane plus binary details.,"Technically yes, but only if this format becomes important enough to justify custom parsing.",Low unless this format becomes a specific research target.
.imp,1415,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.impostor,45,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.levelinfo,22327,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.linkedsceneobject,1,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.material,389,Readable text preview in the text pane plus archive details.,Already usable; only minor QoL improvements would make sense.,Low - current preview is already good enough.
.meshinfo,34319,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.mi,24,Readable text preview in the text pane plus archive details.,Already usable; only minor QoL improvements would make sense.,Low - current preview is already good enough.
.motionblending,1530,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium
.mp4,656,Embedded video playback with transport controls in the preview pane plus archive details.,Already useful; only backend/codec edge-case improvements remain.,High
.nav,65,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.paa,294805,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium
.paa_metabin,149869,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium
.paac,552,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium only if you actively research animation/effect data; otherwise low.
.paacdesc,1,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium only if you actively research animation/effect data; otherwise low.
.paasmt,1,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium only if you actively research animation/effect data; otherwise low.
.paatt,221,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium only if you actively research animation/effect data; otherwise low.
.pab,248,Skeleton summary/preview text with hierarchy-style metadata plus binary details.,Yes - richer skeleton inspection is feasible if needed.,Medium
.pabc,454,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.pabgb,118,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.pabgh,118,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.pabv,97,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.pac,12729,3D skinned-mesh preview when recovery succeeds with orbit/zoom optional textures referenced-texture tools OBJ/FBX export and OBJ import/patch workflows.,Yes - recovery/material fidelity can still improve for harder PAC variants.,High
.paccd,1638,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.padxil,89835,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.pae,5897,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.paem,556,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium
.pai,2,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.palevel,19748,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.paloc,14,Readable text preview in the text pane plus archive details.,Already usable; only minor QoL improvements would make sense.,Low - current preview is already good enough.
.pam,50393,3D model preview when recovery succeeds with orbit/zoom optional textures referenced-texture tools OBJ/FBX export and OBJ import/patch workflows.,"Yes - more parser work can improve geometry recovery, material resolution, texture fidelity, and round-trip coverage.",High
.pamhc,1,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.pami,66370,Decoded text preview in the text pane plus archive details.,Already usable; only minor QoL improvements would make sense.,Low - current preview is already good enough.
.pamlod,32192,3D model preview when recovery succeeds with orbit/zoom optional textures referenced-texture tools OBJ/FBX export and OBJ import/patch workflows.,"Yes - more parser work can improve geometry recovery, material resolution, texture fidelity, and LOD-aware export/import behavior.",High
.pampg,15229,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium only if you actively research animation/effect data; otherwise low.
.pamt,22,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.pappt,1,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.papr,20,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.paproj,9,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.paprojdesc,1,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.parg,745,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.pas,2,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium only if you actively research animation/effect data; otherwise low.
.paschedule,3997,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium only if you actively research animation/effect data; otherwise low.
.paschedulectx,1,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium only if you actively research animation/effect data; otherwise low.
.paschedulepath,3623,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium only if you actively research animation/effect data; otherwise low.
.paseq,4506,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium only if you actively research animation/effect data; otherwise low.
.paseqc,2798,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium only if you actively research animation/effect data; otherwise low.
.paseqh,1,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium only if you actively research animation/effect data; otherwise low.
.pasg,40,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium only if you actively research animation/effect data; otherwise low.
.pashv,24,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium only if you actively research animation/effect data; otherwise low.
.pasound,6,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium only if you actively research animation/effect data; otherwise low.
.pastage,3185,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium only if you actively research animation/effect data; otherwise low.
.pat,1321,No real 3D render yet; today it is mostly strings/text-like fallback plus binary details.,Maybe - if the geometry/container layout for this model format is decoded.,Medium
.pathc,1,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.pbd,580,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.pcg,84,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.pma,1,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.png,68,Real image preview in the Preview pane; DDS also shows metadata/details.,Already usable; only minor QoL improvements would make sense.,Low - current preview is already good enough.
.prefab,45222,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.questgaugecount,1,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.road,2380,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.roadidx,1,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.roadsector,5574,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.save,320,Strings/text-like fallback and binary details; no dedicated inspector for this format.,Maybe - but only through format-specific inspectors; there is no generic quick win.,"Low to medium, depending on whether you inspect this exact format often."
.seqmt,612,"Structured-binary fallback: readable strings/text-like content and hex/details, but no dedicated animation/effect viewer.",Maybe - but it likely needs a custom per-format inspector or playback path.,Medium only if you actively research animation/effect data; otherwise low.
